ID	Địa chỉ	Diện tích	Số phòng ngủ	Số toilet	Nội thất	Mức giá	Ngày đăng tin
41093198.0	2	22.0	1.0	1.0	2	5.4	2024-10-23
41297638.0	1	35.0	1.0	1.0	2	5.0	2024-10-23
38605095.0	2	22.0	1.0	1.0	2	4.9	2024-10-23
39619752.0	16	30.0	1.0	1.0	2	4.7	2024-10-23
41289470.0	9	18.0	1.0	1.0	2	4.3	2024-10-23
41135701.0	3	15.0	1.0	1.0	1	2.7	2024-10-17
41253180.0	9	22.0	1.0	1.0	2	3.5	2024-10-18
40976960.0	9	24.0	1.0	1.0	2	3.0	2024-10-23
41297707.0	15	12.0	1.0	1.0	0	2.9	2024-10-23
41297063.0	14	35.0	1.0	1.0	2	9.0	2024-10-23
41297252.0	13	35.0	1.0	1.0	0	6.4	2024-10-23
41297210.0	7	25.0	1.0	1.0	2	5.7	2024-10-23
41291197.0	14	25.0	1.0	1.0	2	3.5	2024-10-23
41119299.0	9	30.0	1.0	1.0	2	4.5	2024-10-23
40884069.0	2	40.0	1.0	1.0	2	5.1	2024-10-23
41228931.0	2	30.0	1.0	1.0	2	6.5	2024-10-16
41228977.0	2	50.0	1.0	1.0	0	6.5	2024-10-16
41203065.0	4	30.0	1.0	1.0	0	5.5	2024-10-14
39770104.0	7	30.0	1.0	1.0	2	5.0	2024-10-19
41297190.0	6	20.0	1.0	1.0	2	3.8	2024-10-23
41297183.0	6	25.0	1.0	1.0	2	3.8	2024-10-23
41296850.0	3	36.0	1.0	1.0	2	7.5	2024-10-23
41296832.0	7	12.0	1.0	1.0	2	4.0	2024-10-23
41297112.0	9	30.0	1.0	1.0	2	5.0	2024-10-23
41296805.0	7	25.0	1.0	1.0	2	5.0	2024-10-23
40845079.0	6	30.0	1.0	1.0	2	6.4	2024-10-16
40610072.0	8	30.0	1.0	1.0	2	6.0	2024-10-16
41012650.0	1	23.0	1.0	1.0	1	3.4	2024-10-05
41272656.0	2	28.0	1.0	1.0	1	4.0	2024-10-21
41253443.0	5	32.0	1.0	1.0	2	4.6	2024-10-18
41254156.0	2	25.0	1.0	1.0	1	3.9	2024-10-18
41148080.0	7	30.0	1.0	1.0	1	4.5	2024-10-23
41261239.0	1	40.0	1.0	1.0	2	7.0	2024-10-23
41216866.0	1	35.0	1.0	1.0	2	6.2	2024-10-15
41283918.0	1	40.0	1.0	1.0	2	6.0	2024-10-22
41255002.0	1	40.0	1.0	1.0	2	7.0	2024-10-23
41297018.0	13	25.0	1.0	1.0	0	5.5	2024-10-23
41296876.0	7	15.0	1.0	1.0	2	4.8	2024-10-23
41296707.0	2	30.0	1.0	1.0	0	7.2	2024-10-23
41296665.0	3	40.0	1.0	1.0	0	8.9	2024-10-23
41296661.0	17	15.0	1.0	1.0	0	2.7	2024-10-23
41296651.0	1	35.0	1.0	1.0	2	7.0	2024-10-23
40296053.0	7	25.0	1.0	1.0	2	3.8	2024-10-22
41296571.0	2	30.0	1.0	1.0	0	6.7	2024-10-23
41296505.0	14	45.0	1.0	1.0	2	5.5	2024-10-23
41251593.0	1	35.0	1.0	1.0	2	8.0	2024-10-23
41296476.0	2	30.0	1.0	1.0	0	5.5	2024-10-23
41296442.0	13	40.0	1.0	1.0	2	5.5	2024-10-23
40264674.0	14	28.0	1.0	1.0	0	6.5	2024-10-07
41021826.0	14	40.0	1.0	1.0	0	7.0	2024-10-06
41273325.0	1	30.0	1.0	1.0	2	6.5	2024-10-21
41296375.0	2	25.0	1.0	1.0	0	5.0	2024-10-23
41296605.0	2	30.0	1.0	1.0	2	5.0	2024-10-23
39837092.0	2	25.0	1.0	1.0	2	7.0	2024-10-23
41296238.0	9	25.0	1.0	1.0	0	3.7	2024-10-23
41296197.0	15	28.0	1.0	1.0	2	4.8	2024-10-23
41296166.0	1	30.0	1.0	1.0	2	5.8	2024-10-23
41296116.0	7	30.0	2.0	1.0	2	4.8	2024-10-23
41296239.0	9	25.0	1.0	1.0	2	4.0	2024-10-23
41296048.0	2	35.0	1.0	1.0	2	4.9	2024-10-23
41296227.0	7	35.0	1.0	1.0	2	5.5	2024-10-23
41296165.0	9	30.0	1.0	1.0	2	4.5	2024-10-23
41295906.0	15	30.0	1.0	1.0	2	4.9	2024-10-23
41296129.0	9	25.0	1.0	1.0	2	4.0	2024-10-23
41295970.0	14	30.0	1.0	1.0	2	3.9	2024-10-23
41295940.0	2	40.0	1.0	1.0	1	5.8	2024-10-23
41295917.0	7	30.0	1.0	1.0	2	5.0	2024-10-23
41290342.0	3	35.0	1.0	1.0	0	7.0	2024-10-22
41295903.0	14	35.0	1.0	1.0	1	2.9	2024-10-23
41250502.0	1	30.0	1.0	1.0	0	5.5	2024-10-18
41295857.0	1	30.0	1.0	1.0	2	6.8	2024-10-23
40851555.0	7	25.0	1.0	1.0	2	4.0	2024-10-23
41295845.0	1	25.0	1.0	1.0	2	6.5	2024-10-23
41295882.0	9	35.0	1.0	1.0	1	3.8	2024-10-23
41295784.0	9	25.0	1.0	1.0	0	3.8	2024-10-23
41295771.0	9	28.0	1.0	1.0	0	4.5	2024-10-23
41295852.0	9	25.0	1.0	1.0	2	4.5	2024-10-23
40413604.0	3	30.0	1.0	1.0	2	6.5	2024-10-23
41295754.0	13	30.0	1.0	1.0	2	5.5	2024-10-23
40964345.0	2	30.0	1.0	1.0	0	5.2	2024-10-23
41295821.0	9	20.0	1.0	1.0	2	4.3	2024-10-23
41127314.0	3	30.0	1.0	1.0	1	5.8	2024-10-23
41295724.0	2	30.0	1.0	1.0	2	7.0	2024-10-23
40999567.0	2	30.0	1.0	1.0	2	6.0	2024-10-09
36613929.0	2	18.0	1.0	1.0	0	4.5	2024-10-21
40969318.0	9	30.0	1.0	1.0	2	6.5	2024-10-23
41142296.0	9	30.0	1.0	1.0	2	4.5	2024-10-23
41295449.0	9	25.0	1.0	1.0	2	4.0	2024-10-23
39861146.0	16	30.0	1.0	1.0	2	5.0	2024-10-21
39150710.0	16	28.0	1.0	1.0	2	3.5	2024-10-21
39581687.0	15	35.0	1.0	1.0	2	4.75	2024-10-21
39355714.0	15	28.0	1.0	1.0	2	3.4	2024-10-21
39150345.0	15	35.0	1.0	1.0	0	4.5	2024-10-21
41233845.0	2	25.0	1.0	1.0	1	4.3	2024-10-16
41288115.0	2	25.0	1.0	1.0	0	5.5	2024-10-22
41295370.0	2	16.0	2.0	1.0	0	2.8	2024-10-23
40351290.0	17	20.0	1.0	1.0	0	3.2	2024-10-21
